env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,148,4.0096435546875
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,149,4.069700002670288
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,143,4.001554727554321
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,135,3.788691520690918
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,146,4.06702446937561
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,141,3.8894214630126953
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,150,4.384091377258301
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,131,3.9195687770843506
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,127,3.8394761085510254
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-7B-Instruct,True,32,0.8848,2,3,79,2.4080162048339844
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,103,3.2899181842803955
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,135,4.074416875839233
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,100,2.830075263977051
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,102,2.857675552368164
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,101,2.8260133266448975
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,101,2.8182342052459717
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,101,2.821924924850464
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,100,2.961652994155884
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,102,3.1753008365631104
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,103,3.068882465362549
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,101,2.973067283630371
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,101,2.9952306747436523
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,110,3.3902337551116943
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,102,3.1950936317443848
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,102,3.2094380855560303
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,104,3.274559497833252
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,111,3.458312511444092
